Mã chứng khoán,Tên chứng khoán,Ngành
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức,Bất động sản
TEG,Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành,Bất động sản
TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,Bất động sản
TIX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Bất động sản
TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Bất động sản
TN1,Công ty Cổ phần Thương mại Dịch vụ TNS Holdings,Bất động sản
VHM,Công ty Cổ phần Vinhomes,Bất động sản
VIC,Tập đoàn Vingroup,Bất động sản
VPH,Công ty Cổ phần Vạn Phát Hưng,Bất động sản
VPI,Công ty Cổ phần Đầu tư Văn Phú,Bất động sản
VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC,Bất động sản
VRE,Công ty Cổ phần Vincom Retail,Bất động sản
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ thông tin
ELC,Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử,Công nghệ thông tin
FPT,Công ty Cổ phần FPT,Công nghệ thông tin
ICT,Công ty Cổ phần Viễn thông,Công nghệ thông tin
ITD,Công ty Cổ phần Công nghệ Tiên Phong,Công nghệ thông tin
SAM,Công ty Cổ phần SAM Holdings,Công nghệ thông tin
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công nghệ thông tin
ST8,Công ty Cổ phần Siêu Thanh,Công nghệ thông tin
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Du lịch và giải trí
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Du lịch và giải trí
HOT,Công ty Cổ phần Du lịch,Du lịch và giải trí
HVN,Tổng Công ty Hàng không Việt Nam,Du lịch và giải trí
RIC,Công ty Cổ phần Quốc Tế Hoàng Gia,Du lịch và giải trí
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Du lịch và giải trí
SKG,Công ty Cổ phần Tàu Cao tốc Superdong,Du lịch và giải trí
TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,Du lịch và giải trí
VJC,Công ty Cổ phần Hàng không Vietjet,Du lịch và giải trí
VNG,Công ty Cổ phần Du Lịch Thành Thành Công,Du lịch và giải trí
VNS,Công ty Cổ phần Ánh Dương Việt Nam,Du lịch và giải trí
APC,Công ty Cổ phần Chiếu xạ An Phú,Dược phẩm và Y tế
DBD,Công ty Cổ phần Dược,Dược phẩm và Y tế
DBT,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm và Y tế
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm và Y tế
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm và Y tế
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm và Y tế
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,Dược phẩm và Y tế
JVC,Công ty Cổ phần Thiết bị Y tế Việt Nhật,Dược phẩm và Y tế
OPC,Công ty Cổ phần Dược Phẩm OPC,Dược phẩm và Y tế
PME,Công ty Cổ phần Pymepharco,Dược phẩm và Y tế
SJF,Công ty Cổ phần Đầu tư Sao Thái Dương,Dược phẩm và Y tế
SPM,Công ty Cổ phần S.P.M,Dược phẩm và Y tế
TNH,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Dược phẩm và Y tế
TRA,Công ty Cổ phần Traphaco,Dược phẩm và Y tế
VDP,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,Dược phẩm và Y tế
VMD,Công ty Cổ phần Y Dược phẩm Vimedimex,Dược phẩm và Y tế
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,Dịch vụ tài chính
APG,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính
BCG,Công ty Cổ phần Bamboo Capital,Dịch vụ tài chính
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Dịch vụ tài chính
FIT,Công ty Cổ phần Tập đoàn F.I.T,Dịch vụ tài chính
FTS,Công ty Cổ phần Chứng khoán FPT,Dịch vụ tài chính
FUCTVGF2,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,Dịch vụ tài chính
FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam,Dịch vụ tài chính
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Dịch vụ tài chính
IBC,Công ty Cổ phần Đầu tư APAX Holdings,Dịch vụ tài chính
OGC,Công ty Cổ phần Tập đoàn Đại Dương,Dịch vụ tài chính
SSI,Công ty Cổ phần Chứng khoán SSI,Dịch vụ tài chính
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,Dịch vụ tài chính
VCI,Công ty Cổ phần Chứng khoán Bản Việt,Dịch vụ tài chính
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Dịch vụ tài chính
VIX,Công ty Cổ phần Chứng khoán VIX,Dịch vụ tài chính
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,Hàng & Dịch vụ công nghiệp
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Hàng & Dịch vụ công nghiệp
CLL,Công ty Cổ phần Cảng Cát Lái,Hàng & Dịch vụ công nghiệp
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Hàng & Dịch vụ công nghiệp
EMC,Công ty Cổ phần Cơ điện Thủ Đức,Hàng & Dịch vụ công nghiệp
GEX,Tổng Công ty Cổ phần Thiết bị điện Việt Nam,Hàng & Dịch vụ công nghiệp
GMD,Công ty Cổ phần Gemadept,Hàng & Dịch vụ công nghiệp
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Hàng & Dịch vụ công nghiệp
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Hàng & Dịch vụ công nghiệp
HTV,Công ty Cổ phần Logistics Vicem,Hàng & Dịch vụ công nghiệp
ILB,Công ty Cổ phần ICD Tân Cảng Long Bình,Hàng & Dịch vụ công nghiệp
L10,Công ty Cổ phần Lilama 10,Hàng & Dịch vụ công nghiệp
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Hàng & Dịch vụ công nghiệp
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu,Hàng & Dịch vụ công nghiệp
MHC,Công ty Cổ phần MHC,Hàng & Dịch vụ công nghiệp
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Hàng & Dịch vụ công nghiệp
PAC,Công ty Cổ phần Pin Ắc quy Miền Nam,Hàng & Dịch vụ công nghiệp
PDN,Công ty Cổ phần Cảng Đồng Nai,Hàng & Dịch vụ công nghiệp
PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Hàng & Dịch vụ công nghiệp
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Hàng & Dịch vụ công nghiệp
REE,Công ty Cổ phần Cơ điện Lạnh,Hàng & Dịch vụ công nghiệp
SFI,Công ty Cổ phần Đại lý Vận tải Safi,Hàng & Dịch vụ công nghiệp
SGN,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,Hàng & Dịch vụ công nghiệp
SMA,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,Hàng & Dịch vụ công nghiệp
SRF,Công ty Cổ phần Kỹ nghệ lạnh,Hàng & Dịch vụ công nghiệp
STG,Công ty Cổ phần Kho Vận Miền Nam,Hàng & Dịch vụ công nghiệp
SVI,Công ty Cổ phần Bao bì Biên Hòa,Hàng & Dịch vụ công nghiệp
TCL,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Hàng & Dịch vụ công nghiệp
TCO,Công ty Cổ phần Vận tải Đa phương thức Duyên Hải,Hàng & Dịch vụ công nghiệp
TDP,Công ty Cổ phần Thuận Đức,Hàng & Dịch vụ công nghiệp
TMS,Công ty Cổ phần Transimex,Hàng & Dịch vụ công nghiệp
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Hàng & Dịch vụ công nghiệp
TYA,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,Hàng & Dịch vụ công nghiệp
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Hàng & Dịch vụ công nghiệp
VNL,Công ty Cổ phần Logistics Vinalink,Hàng & Dịch vụ công nghiệp
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,Hàng & Dịch vụ công nghiệp
VSC,Công ty Cổ phần Container Việt Nam,Hàng & Dịch vụ công nghiệp
VTB,Công ty Cổ phần Viettronics Tân Bình,Hàng & Dịch vụ công nghiệp
VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO,Hàng & Dịch vụ công nghiệp
AAT,Công ty Cổ phần Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng
ADS,Công ty Cổ phần DAMSAN,Hàng cá nhân & Gia dụng
CLC,Công ty Cổ phần Cát Lợi,Hàng cá nhân & Gia dụng
DQC,Công ty Cổ phần Bóng đèn Điện Quang,Hàng cá nhân & Gia dụng
EVE,Công ty Cổ phần Everpia,Hàng cá nhân & Gia dụng
FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Hàng cá nhân & Gia dụng
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,Hàng cá nhân & Gia dụng
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Hàng cá nhân & Gia dụng
GMC,Công ty Cổ phần Garmex Sài Gòn,Hàng cá nhân & Gia dụng
KMR,Công ty Cổ phần Mirae,Hàng cá nhân & Gia dụng
LIX,Công ty Cổ phần Bột giặt LIX,Hàng cá nhân & Gia dụng
MSH,Công ty Cổ phần May Sông Hồng,Hàng cá nhân & Gia dụng
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân & Gia dụng
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Hàng cá nhân & Gia dụng
STK,Công ty Cổ phần Sợi Thế Kỷ,Hàng cá nhân & Gia dụng
SVD,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,Hàng cá nhân & Gia dụng
TCM,Công ty Cổ phần Dệt may,Hàng cá nhân & Gia dụng
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Hàng cá nhân & Gia dụng
TVT,Tổng Công ty Việt Thắng,Hàng cá nhân & Gia dụng
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Hóa chất
BFC,Công ty Cổ phần Phân bón Bình Điền,Hóa chất
BRC,Công ty Cổ phần Cao su Bến Thành,Hóa chất
CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Hóa chất
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Hóa chất
DCM,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Hóa chất
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất
DPM,Tổng Công ty Cổ phần Phân bón và Hóa chất Dầu khí,Hóa chất
DPR,Công ty Cổ phần Cao su Đồng Phú,Hóa chất
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Hóa chất
GVR,Tập đoàn Công nghiệp Cao su Việt Nam,Hóa chất
HAI,Công ty Cổ phần Nông dược HAI,Hóa chất
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Hóa chất
HII,Công ty Cổ phần An Tiến Industries,Hóa chất
HRC,Công ty Cổ phần Cao su Hòa Bình,Hóa chất
NHH,Công ty Cổ phần Nhựa Hà Nội,Hóa chất
PHR,Công ty Cổ phần Cao su Phước Hòa,Hóa chất
PLP,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,Hóa chất
RDP,Công ty Cổ phần Rạng Đông Holding,Hóa chất
SFG,Công ty Cổ phần Phân bón Miền Nam,Hóa chất
TNC,Công ty Cổ phần Cao su Thống Nhất,Hóa chất
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng,Hóa chất
TRC,Công ty Cổ phần Cao su Tây Ninh,Hóa chất
TSC,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Hóa chất
VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,Hóa chất
VPS,Công ty Cổ phần Thuốc sát trùng Việt Nam,Hóa chất
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng
LPB,Ngân hàng Thương mại Cổ phần Bưu Điện Liên Việt,Ngân hàng
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng
AAM,Công ty Cổ Phần Thủy Sản Mê Kông,Thực phẩm & Đồ uống
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thực phẩm & Đồ uống
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,Thực phẩm & Đồ uống
ANV,Công ty Cổ phần Nam Việt,Thực phẩm & Đồ uống
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Thực phẩm & Đồ uống
BHN,Tổng Công ty Cổ phần Bia,Thực phẩm & Đồ uống
CMX,Công ty Cổ phần CAMIMEX Group,Thực phẩm & Đồ uống
DAT,Công ty cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Thực phẩm & Đồ uống
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm & Đồ uống
FMC,Công ty Cổ phần Thực phẩm Sao Ta,Thực phẩm & Đồ uống
GTN,Công ty Cổ phần GTNFOODS,Thực phẩm & Đồ uống
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Thực phẩm & Đồ uống
HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Thực phẩm & Đồ uống
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Thực phẩm & Đồ uống
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Thực phẩm & Đồ uống
KDC,Công ty Cổ phần Tập đoàn KIDO,Thực phẩm & Đồ uống
LSS,Công ty Cổ phần Mía đường Lam Sơn,Thực phẩm & Đồ uống
MSN,Công ty Cổ phần Tập đoàn Masan,Thực phẩm & Đồ uống
NAF,Công ty Cổ phần Nafoods Group,Thực phẩm & Đồ uống
SAB,Tổng Công ty Cổ phần Bia,Thực phẩm & Đồ uống
SBT,Công ty Cổ phần Thành Thành Công,Thực phẩm & Đồ uống
SCD,Công ty Cổ phần Nước giải khát Chương Dương,Thực phẩm & Đồ uống
SMB,Công ty Cổ phần Bia Sài Gòn,Thực phẩm & Đồ uống
TAC,Công ty Cổ phần Dầu Thực vật Tường An,Thực phẩm & Đồ uống
TS4,Công ty Cổ phần Thủy sản số 4,Thực phẩm & Đồ uống
VCF,Công ty Cổ phần Vinacafe Biên Hòa,Thực phẩm & Đồ uống
VHC,Công ty Cổ phần Vĩnh Hoàn,Thực phẩm & Đồ uống
VNM,Công ty Cổ phần Sữa Việt Nam,Thực phẩm & Đồ uống
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Tiện ích cộng đồng
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,Tiện ích cộng đồng
BWE,Công ty Cổ phần Nước,Tiện ích cộng đồng
CHP,Công ty Cổ phần Thủy điện Miền Trung,Tiện ích cộng đồng
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Tiện ích cộng đồng
CNG,Công ty Cổ phần CNG Việt Nam,Tiện ích cộng đồng
DRL,Công ty Cổ phần Thủy điện,Tiện ích cộng đồng
GAS,Tổng Công ty Khí Việt Nam,Tiện ích cộng đồng
GEG,Công ty Cổ phần Điện Gia Lai,Tiện ích cộng đồng
KHP,Công ty Cổ phần Điện lực Khánh Hòa,Tiện ích cộng đồng
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Tiện ích cộng đồng
PGC,Tổng Công ty Gas Petrolimex,Tiện ích cộng đồng
PGD,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,Tiện ích cộng đồng
PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,Tiện ích cộng đồng
POW,Tổng Công ty Điện lực Dầu khí Việt Nam,Tiện ích cộng đồng
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,Tiện ích cộng đồng
S4A,Công ty Cổ phần Thủy điện Sê San 4A,Tiện ích cộng đồng
SBA,Công ty Cổ phần Sông Ba,Tiện ích cộng đồng
SFC,Công ty Cổ phần Nhiên liệu Sài Gòn,Tiện ích cộng đồng
SHP,Công ty Cổ phần Thủy điện Miền Nam,Tiện ích cộng đồng
SJD,Công ty Cổ phần Thủy điện Cần Đơn,Tiện ích cộng đồng
TBC,Công ty Cổ phần Thủy điện Thác Bà,Tiện ích cộng đồng
TDG,Công ty Cổ phần Dầu khí Thái Dương,Tiện ích cộng đồng
TDM,Công ty Cổ phần Nước Thủ Dầu Một,Tiện ích cộng đồng
TDW,Công ty Cổ phần Cấp nước Thủ Đức,Tiện ích cộng đồng
TMP,Công ty Cổ phần Thủy điện Thác Mơ,Tiện ích cộng đồng
TTE,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,Tiện ích cộng đồng
VPD,Công ty Cổ phần Phát triển Điện lực Việt Nam,Tiện ích cộng đồng
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn,Tiện ích cộng đồng
ADG,Công ty Cổ phần Clever Group,Truyền thông
PNC,Công ty Cổ phần Văn hóa Phương Nam,Truyền thông
YEG,Công ty Cổ phần Tập đoàn Yeah1,Truyền thông
BMC,Công ty Cổ phần Khoáng sản Bình Định,Tài nguyên cơ bản
DHC,Công ty Cổ phần Đông Hải Bến Tre,Tài nguyên cơ bản
DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Tài nguyên cơ bản
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Tài nguyên cơ bản
DTL,Công ty Cổ phần Đại Thiên Lộc,Tài nguyên cơ bản
GTA,Công ty Cổ phần Chế biến Gỗ Thuận An,Tài nguyên cơ bản
HHP,Công ty Cổ phần Giấy Hoàng Hà Hải Phòng,Tài nguyên cơ bản
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh,Tài nguyên cơ bản
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Tài nguyên cơ bản
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Tài nguyên cơ bản
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Tài nguyên cơ bản
LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,Tài nguyên cơ bản
NKG,Công ty Cổ phần Thép Nam Kim,Tài nguyên cơ bản
POM,Công ty Cổ phần Thép Pomina,Tài nguyên cơ bản
SHA,Công ty Cổ phần Sơn Hà Sài Gòn,Tài nguyên cơ bản
SHI,Công ty Cổ phần Quốc tế Sơn Hà,Tài nguyên cơ bản
SMC,Công ty Cổ phần Đầu tư Thương mại SMC,Tài nguyên cơ bản
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Tài nguyên cơ bản
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Tài nguyên cơ bản
TNA,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam,Tài nguyên cơ bản
TNI,Công ty Cổ phần Tập đoàn Thành Nam,Tài nguyên cơ bản
TNT,Công ty Cổ phần Tập đoàn TNT,Tài nguyên cơ bản
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Tài nguyên cơ bản
VCA,Công ty Cổ phần Thép VICASA,Tài nguyên cơ bản
VID,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Tài nguyên cơ bản
VIS,Công ty Cổ phần Thép Việt Ý,Tài nguyên cơ bản
YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,Tài nguyên cơ bản
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Xây dựng và Vật liệu
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Xây dựng và Vật liệu
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu
C32,Công ty Cổ phần CIC39,Xây dựng và Vật liệu
C47,Công ty Cổ phần Xây dựng 47,Xây dựng và Vật liệu
CDC,Công ty Cổ phần Chương Dương,Xây dựng và Vật liệu
CEE,Công ty Cổ phần Xây dựng Hạ tầng CII,Xây dựng và Vật liệu
CIG,Công ty Cổ phần COMA 18,Xây dựng và Vật liệu
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM,Xây dựng và Vật liệu
CKG,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Xây dựng và Vật liệu
CRC,Công ty Cổ phần Create Capital Việt Nam,Xây dựng và Vật liệu
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng và Vật liệu
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Xây dựng và Vật liệu
CVT,Công ty Cổ phần CMC,Xây dựng và Vật liệu
DC4,Công ty Cổ phần Xây dựng DIC Holdings,Xây dựng và Vật liệu
DHA,Công ty Cổ phần Hóa An,Xây dựng và Vật liệu
DPG,Công ty Cổ phần Đạt Phương,Xây dựng và Vật liệu
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Xây dựng và Vật liệu
EVG,Công ty Cổ phần Tập đoàn Everland,Xây dựng và Vật liệu
FCM,Công ty Cổ phần Khoáng sản FECON,Xây dựng và Vật liệu
FCN,Công ty Cổ phần FECON,Xây dựng và Vật liệu
GAB,Công ty Cổ phần Đầu tư Khai khoáng &amp; Quản lý Tài sản FLC,Xây dựng và Vật liệu
